开发运维工程师（Python/Go）,0.8-1.2万/月,成都-武侯区  |  2年经验  |  大专  |  招1人  |  06-10发布,"
        工作职责1.能够根据初步的软件系统设计进行需求分析，对客户需求进行明确2.进行集成平台应用的开发和测试，确保系统集成平台技术标准的执行3.参与Devops平台的管理和开发治理，参与集成平台技术规范的制定和完善4.负责回答客户提出的技术咨询，及时解答或升级相关问题任职资格1.大专以上学历，计算机、软件相关专业，2-3年相关经验2.至少精通一种编程语言开发(Python 优先)，有实际的应用项目开发经验3.熟悉常用集成技术和协议(Web Service、Restful、XML、JSON等)以及软件工具4.有开源工具使用经验、开发集成经验优先，如Docker、Zabbix、Prometheus、蓝鲸5.了解公有云平台优先，有大型互联网公司自动化运维经验优先6.对新技术充满热情
                
                                        职能类别：运维开发
                                        关键字：开发Pythongo
                    
        微信分享
        
        
    "
嵌入式Python界面开发工程师,4.5-6千/月,成都-高新区  |  在校生/应届生  |  大专  |  招5人  |  06-10发布  |  英语良好,"
        1，熟悉PYTHON2，熟悉PYQT3，熟悉嵌入式LINUX优先
                
                                        职能类别：软件工程师
                                        关键字：PYTHONPYQT嵌入式
                    
        微信分享
        
        
    "
Python开发工程师,1-1.5万/月,南京-栖霞区  |  3-4年经验  |  本科  |  招若干人  |  06-10发布,"
        岗位职责1、在上级的领导和监督下定期完成量化的工作要求，并能独立处理和解决所负责的任务；2、从事Python软件开发（web开发方向）和软件设计等工作；3、参与应用设计与方案讨论；4、设计网站系统架构，代码重构；5、开发、定制、调试、优化系统软件；6、分析系统瓶颈，解决工程中的难题；7、根据开发进度和任务分配，完成相应模块软件的设计、开发、编程任务；8、进行程序单元、功能的测试，查出软件存在的缺陷并解决；9、完成与项目相关的文档编写。任职资格1、熟悉数据库的使用，能够熟练使用MySQL、PostgreSQL、MongoDB等开源数据库，有大数据的存储、索引优化经验者优先；2、能够熟练使用python语言。有过Django、tornado、flask等框架开发经验者优先，经验要求在3年以上；3、熟悉linux，有shell编程经验者优先；4、有处理海量数量、高并发服务的项目经验者优先考虑；5、熟悉互联网常用协议，有HTTP、TCP、UDP相关协议开发经验者优先；6、熟悉MVC类型的编程架构，有过复杂业务系统的构建经验者优先。
                
                                        职能类别：Python开发工程师软件工程师
                                
        微信分享
        
        
    "
测试开发（Python）,0.8-1.5万/月,广州-天河区  |  1年经验  |  本科  |  招1人  |  06-10发布,"
        工作内容：1. 根据需求描述和需求文档，设计系统网站和工具脚本的技术方案。2. 确定方案后，进行网站和脚本的开发、测试。3. 部署网站与工具，维护并解决日常使用中出现的问题。4. 对网站、工具编写使用文档，指导用户使用。5. 学习新技术，尝试开发或引入新工具，解决游戏测试工作中的困难，增进游戏测试工作的效率。任职要求：1. 本科或以上计算机相关学历，1年以上工作经验，可查阅英文文档。英语 CET6 以上水平优先。2. 熟练掌握Python编程，有较多python第三方库使用经验。熟悉javascript、C++、Go更佳。3. 熟悉主流的web后端框架，例如django、flask，曾独立负责小型网站或大型网站的完整功能。掌握html语法，曾使用后端模板进行过页面交互功能的开发。4. 能够熟练在Linux环境下进行开发和调试，熟悉bash使用。熟悉nginx、supervisor等后端部署工具者优先。5. 熟悉 MySQL数据库，曾独立设计和维护数据库表格。有MongoDB、Redis经验更佳。6. 富有技术探索精神，熟悉github等开源社区者更佳。7. 具备良好的学习、沟通能力及团队协作精神，对工作严谨负责，能从用户角度出发进行工具的优化。PS：岗位定位为开发，希望熟悉Python+web后端+Linux，英语能力优秀优先上班时间 9:30-18：00周一至周五，周末双休一年两次调薪机会，入职购买六险一金、每月700餐补，下午茶，健身房等福利
                
                                        职能类别：测试开发
                                        关键字：Python
                    
        微信分享
        
        
    "
软件测试工程师（C++、java、python）,1-2万/月,北京  |  2年经验  |  本科  |  招若干人  |  06-10发布,"
        职位描述：1.根据项目说明、设计文档、使用说明书等，做好测试前的准备工作，保证产品测试工作的计划性与规范性；2.按照测试流程、计划以及对产品特性的把握，编写测试案例，确保测试目的的达成；3.根据测试计划及测试案例，执行测试，确保在软件发布前基本排除其缺陷；4.根据测试结果，与开发部门等反复沟通测试情况，修正测试中发现的缺陷，完善软件性能；5.整理测试文档，编写测试总结；6.完成测试相关工具的开发。任职资格：1.学历要求：-毕业于211或985院校、统招本科及以上学历。2.能力要求：-熟悉java、C/C++、Python其中一种语言，具备软件工程理论知识，精通软件测试理论及测试方法；-能够熟练书写测试脚本、测试用例，熟练使用各种测试工具；-熟悉Junit/gtest/unittest其中一种框架。3.优先考虑：-有团队管理经验者优先。
                
                                        职能类别：软件测试工程师系统测试
                                
        微信分享
        
        
    "
Python开发工程师/前端/爬虫,4.5-6千/月,深圳-南山区  |  大专  |  招1人  |  06-10发布,"
        基本要求：1，做事认真、细心，愿意沟通；有团队精神，能与同事和谐相处，能快速适应环境；2，全日制大专或以上学历。有网页编辑或设计经验；3，编辑公司网站国际版，需要有英语基础；英文内容有专人编辑，但网站设计至少要看得懂4，男女不限。工作职责：1，与公司运营推广、美工团队一起，设计和编辑网站，团队协作将项目落地；2，积极学习，努力成长为网站负责人；3，公司会积极培养新人。公司福利：1、工作时间：5天7.5小时制；五险一金；2、法定节假日，带薪假期；3、每周三、周五下午茶福利；4、法定节假日有对应节假日福利；5、年终奖丰厚，转正员工至少1个月工资。
                
                                        职能类别：软件工程师脚本开发工程师
                                        关键字：Python前端爬虫脚本开发
                    
        微信分享
        
        
    "
Python高级开发工程师,1-1.5万/月,西安-高新技术产业开发区  |  3-4年经验  |  本科  |  招若干人  |  06-10发布,"
        1.负责服务端开发2.能够充分理解架构思想并实现3.持续对系统架构进行改造和优化4.撰写系统设计文档任职资格：1.三年以上开发经验，二年以上的Python开发经验2.具备良好的基本功，熟练使用基本的数据结构和算法3.具备良好的编码习惯，结构清晰，命名规范，逻辑性强，代码冗余率低4.熟练掌握Flask，Sqlalchemy框架，深入理解框架实现原理及特性5.熟练使用python的常用库6.熟练掌握一种以上非关系型数据库，如Redis，理解其使用场景及限制7.熟练Linux基本操作8.熟悉Python的高级特性，深入理解各种设计模式和应用场景9.熟悉前后端分离开发模式10.熟悉TDD（测试驱动开发）11.熟悉Git版本管理工具其他要求：1.无障碍阅读英文帮助文档2.可适应偶尔出差
                
                                        职能类别：高级软件工程师大数据开发工程师
                                        关键字：开发工程师软件工程师
                    
        微信分享
        
        
    "
Python开发工程师,0.8-1.5万/月,青岛-市北区  |  3-4年经验  |  大专  |  招3人  |  06-10发布,"
        技能要求：Python，NLP，MySQLPython编程经验2年以上， 熟悉tornado、flask、web.py等网络开发框架。熟练使用mysql，redis， 了解常见的使用场景，性能优化方案。拥有良好的代码习惯，结构清晰，命名规范，逻辑性强，遵守pylint和pep8规范。了解scrapy,scray-redis,selenium等采集方案的使用，以及相关爬虫项目经验。简单了解NLP相关的基础知识，有学习兴趣。善于团队合作，对新技术有强烈的探索欲望，责任心强，能够承受工作压力，有强烈的责任心。
                
                                        职能类别：Python开发工程师
                                        关键字：python爬虫软件开发软件工程师
                    
        微信分享
        
        
    "
Python开发工程师,1.2-1.8万/月,深圳-宝安区  |  3-4年经验  |  本科  |  招1人  |  06-10发布,"
        岗位要求：职位描述：1、负责自动化运维平台基础资源管理系统和机器生命周期管理等系统的开发2、负责自动化运维平台与基础运维工具的整合与优化 3、负责异常检测、根因分析、故障自愈和告警收敛策略的研究与落地 4、研究新兴运维技术，持续优化系统架构 要求：1、本科以上学历，3年或以上Python/Golang/C开发经验 2、熟练应用MySQL、Redis等存储工具 3、熟悉分布式系统的开发原则，有分布式项目背景者优先 4、有自动化运维开发相关经验者优先 5、责任心强，追求效率，有良好的对外沟通能力、协作能力、学习能力、英文阅读能力与抗压能力
                
                                        职能类别：Go开发工程师Python开发工程师
                                
        微信分享
        
        
    "
Python,1-1.5万/月,上海-徐汇区  |  2年经验  |  本科  |  招1人  |  06-10发布,"
        岗位要求：1. 3年及以上Python开发经验，熟练Flask，Django的基本使用；(了解C或C++更佳)2. 熟练使用Linux环境，熟练掌握awk，ps，find，vim等命令的基本用法；（管道，重定向和后台任务为加分项）3. 熟练掌握数据组件：Redis，MySQL；（Elasticsearch为加分项）4. 能够独立搭建nginx+uwsgi服务器；5. 重视编码规范，并有自己的见解；6. 具备良好的分析问题能力，能独立承担任务并对进度有把控能力；
                
                                        职能类别：软件工程师高级软件工程师
                                
        微信分享
        
        
    "
