isbn,title,author,year,publisher,reading_count
0316666343,The Lovely Bones: A Novel,Alice Sebold,2002,"Little, Brown",702
0971880107,Wild Animus,Rich Shapero,2004,Too Far,580
0385504209,The Da Vinci Code,Dan Brown,2003,Doubleday,485
0312195516,The Red Tent (Bestselling Backlist),Anita Diamant,1998,Picador USA,382
0060928336,Divine Secrets of the Ya-Ya Sisterhood: A Novel,Rebecca Wells,1997,Perennial,318
059035342X,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback)),J. K. Rowling,1999,Arthur A. Levine Books,308
0142001740,The Secret Life of Bees,Sue Monk Kidd,2003,Penguin Books,305
0446672211,Where the Heart Is (Oprah's Book Club (Paperback)),Billie Letts,1998,Warner Books,293
044023722X,A Painted House,John Grisham,2001,Dell Publishing Company,280
0452282152,Girl with a Pearl Earring,Tracy Chevalier,2001,Plume Books,275
